company,website,public_contact,fit_signal,priority,status,next_action
Bosphorus Brokers,https://www.bosphorusbrokers.com/,,Licensed multilingual team including Arabic; international clients,high,research,Find sales director and personalize workflow
Property Turkey Istanbul,https://www.propertyturkeyistanbul.com/,,14 advisors across four offices; Arabic Turkish English and other languages,high,research,Contact co-founder or sales manager
Right Home,https://www.righthome.com.tr/en/our-services/1/real-estate-consultancy,info@righthome.com.tr / +90 549 199 60 04,Arabic English Turkish Persian Russian team,high,ready,Send Turkish first message
TR Ocean View,https://troceanview.com/,info@troceanview.com,Multilingual team with Arabic-speaking sales staff,high,ready,Contact managing director
Durukan Real Estate,https://durukanrealestate.com/en/,,Public journey explicitly starts from WhatsApp in English Arabic Russian,high,research,Prepare WhatsApp-to-viewing demo
Property Time Istanbul,https://www.propertytimeistanbul.com/,propertytimeistanbul.tr@gmail.com / +90 532 276 80 85,Targets GCC and international investors in four languages,high,ready,Send Arabic first message
Key Of Trust,https://keyoftrust.com/services,info@keyoftrust.com / +90 552 540 23 73,International multilingual property and concierge services,medium,ready,Qualify sales team size
Homes of Turkey,https://homesofturkey.com/about-us/,,International-first team with Arabic specialists and remote buyers,high,research,Contact founder or Istanbul specialist
KOZ Investment,https://www.kozinvestment.com/services/,,English Arabic Turkish real-estate investment support,medium,research,Find public business contact
ACUAD Group,https://acuadgroup.com/en/corporate/why-acuad/,,Arabic Turkish English real-estate and legal advisory,medium,research,Find sales operations owner
